created_at,tweet_ID,user,tweet_content,place,language,source

"2021-01-11 04:29:15,'1348487109456367622,yori_hanazinha,""vou tomar uma cartela inteira de zolpidem, só assim pra eu conseguir dormir hoje"",None,pt,https://mobile.twitter.com"
2021-01-11 04:26:40,'1348486461541277696,giuliaquintil,mandando mensagens que vou me arrepender e amanhã eu boto a culpa no zolpidem,None,pt,iphone
2021-01-11 04:24:19,'1348485870328885250,httpskinnygoals,@bitchienne Eu haushudhsudhsh fui inventar de tomar 4 zolpidem e vomitei pela casa inteira,None,pt,iphone
2021-01-11 04:20:01,'1348484785958772737,Clarigga,Mood: dopada de zolpidem,None,cs,android
2021-01-11 04:18:31,'1348484410304303104,anabebu7,N teve jeito apelei pro zolpidem,None,pt,iphone
2021-01-11 04:16:20,'1348483859835465728,rurau_,minha vó chapadona de zolpidem e eu sem paciência pra lidar,None,pt,android
2021-01-11 04:08:17,'1348481835278495745,jessequinha,dormi o dia todo e agora tô sem sono ou seja infelizmente vamos de zolpidem pois amanhã é dia de acordar CEDO,None,pt,android
2021-01-11 04:05:39,'1348481171223666690,caroolmattoss,@SimoneBispo Zolpidem? Hahahaha sou eu todinha!!,None,pt,iphone
"2021-01-11 04:03:23,'1348480600869638146,papusca,""@Larissasav não faz isso, bebê sou a 2 anos literalmente dependente de zolpidem é muito ruim viver assim  /"",None,pt,iphone"
"2021-01-11 04:02:29,'1348480374482096128,betaandriolli,""planejando minha festa de aniversário desse ano sob efeito de zolpidem vai dar ótimo"",None,pt,android"
"2021-01-11 04:00:37,'1348479903046447107,Isisalvesx,Preciso muito de zolpidem 💔,""Place(_api=<tweepy.api.API object at 0x000001D4A8700DF0>, id='97bcdfca1a2dca59', url='https://api.twitter.com/1.1/geo/id/97bcdfca1a2dca59.json', place_type='city', name='Rio de Janeiro', full_name='Rio de Janeiro, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001D4A8700DF0>, type='Polygon', coordinates=[[[-43.795449, -23.08302], [-43.0877068, -23.08302], [-43.0877068, -22.7398234], [-43.795449, -22.7398234]]]), attributes={})"",pt,android"
2021-01-11 03:59:21,'1348479585470574596,florianoss,e vamos de zolpidem né,None,pt,iphone
2021-01-11 03:54:59,'1348478488894910467,guiferrado,A linha tênue entre ter de dormir após usar Zolpidem e se manter acordado para aproveitar um ínfimo momento de aleg… https://t.co/lnPWfRwf1c,None,pt,android
2021-01-11 03:53:49,'1348478191917215744,b_pantol,Chapada de zolpidem,None,es,android
2021-01-11 11:47:52,'1348597493077069826,lucaspinkzz,eh o seguinte galera 2 Zolpidem na mente.,None,pt,android
2021-01-11 11:32:30,'1348593625567997952,yori_hanazinha,deus eu comecei meu dia como? lendo uma thread sobre zolpidem e agora estou apavoradíssima 🤡,None,pt,https://mobile.twitter.com
2021-01-11 11:25:13,'1348591793059880962,ddelgrant,"Tomei um Zolpidem pra dormir essa noite que cheguei a alucinar, os relatos são reais pqp","Place(_api=<tweepy.api.API object at 0x000001B3CAA5BCD0>, id='dcfb523083152c0f', url='https://api.twitter.com/1.1/geo/id/dcfb523083152c0f.json', place_type='city', name='Hortolândia', full_name='Hortolândia, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001B3CAA5BCD0>, type='Polygon', coordinates=[[[-47.2597623, -22.913139], [-47.1558259, -22.913139], [-47.1558259, -22.825939], [-47.2597623, -22.825939]]]), attributes={})",pt,android
2021-01-11 03:53:46,'1348478179233722368,rafinhakruger_,Ai gente viagem do zolpidem quando minha cama não é um navio de nuvem rosa eu to numas reflexões loucas sob efeito de medicamentos,None,pt,iphone
2021-01-11 03:50:04,'1348477248073035777,camilavelosoc,tomei zolpidem e resistir ao sono     e olha no que deu,None,pt,android
2021-01-11 03:49:56,'1348477217735467008,meunameehjulia,Nóia da vez do Zolpidem: fechar o olho e enxergar como se estivesse com ele aberto (?????),None,pt,android
2021-01-11 03:48:55,'1348476958989021184,remuskam,ela tomou zolpidem ignorem essa drogada desempregada https://t.co/ByOGmNwTIc,None,pt,android
2021-01-11 03:48:36,'1348476881130184706,edvnklht,chapado de sono tipo zolpidem,None,es,android
2021-01-11 03:44:53,'1348475946861522944,gabrielicris_,P hoje eu só queria um zolpidem,None,pt,android
2021-01-11 03:39:49,'1348474670199279621,FabsZeroTwo,@wtfoxx Zolpidem feelings? ahuahuaa,None,et,https://mobile.twitter.com
2021-01-11 03:37:45,'1348474149547732992,vitoriasabbagh,"@paulapradot Só tô dormindo """"""""""""""bem"""""""""""""" na base do zolpidem. E tô com cada sonho...não sei se é premonição, v… https://t.co/e6kIUchQ0k",None,pt,android
2021-01-11 03:34:15,'1348473269054287872,Pimenta_el__,O Everton chapacrazy de zolpidem me mandando áudio falando que eu sou linda e que ele me ama,None,pt,android
2021-01-11 03:18:36,'1348469329902399489,elmintaas,@Nunes1337 zolpidem,None,es,android
2021-01-11 03:18:14,'1348469240001654785,dracbi,"Bele tomei zolpidem faz 20 minutos e eu n comecei a alucinar ainda e aparentemente não vo, quero come brigadeiro, p… https://t.co/w42AlDU8Vq",None,pt,android
2021-01-11 03:14:36,'1348468325534359554,jessi_souzat,Eu tô tão ansiosa pq o estágio tá acabando... Nem o Zolpidem tá sendo capaz de me fazer dormir,None,pt,https://mobile.twitter.com
2021-01-11 03:05:07,'1348465939365433345,ericmalveira,"Enfrentar 7h de viagem agora sem o menino zolpidem.. vai ser osso, vou chegar amanhã em casa só os cacos",None,pt,iphone
2021-01-11 03:02:01,'1348465158402793474,mthzzi,"Eu sei que não preciso de zolpidem pra isso pq faço sempre, kakakakka",None,pt,iphone
2021-01-11 03:01:17,'1348464974134472708,VitoriaPascoal,E vamos de zolpidem...,None,pt,iphone
2021-01-11 03:01:12,'1348464950373707776,mthzzi,"Tomei meu zolpidem e tô esperando bater o efeito, será que vou postar alguma coisa idiota em algum lugar? Vamos aguardar",None,pt,iphone
2021-01-11 03:01:09,'1348464940034781197,coebruxo666,@raphael_ocl eu com zolpidem,None,pt,android
2021-01-11 02:58:47,'1348464341973159936,45kkg,tomei meus 20mg de zolpidem aqui e to curtindo musiquinha canta por mulher sentindo a música,None,pt,iphone
2021-01-11 02:58:02,'1348464153149714433,peixesus,nhamnham zolpidem como eu te amo,None,pt,iphone
2021-01-11 02:57:46,'1348464089614462977,ciganajuju,@gbrldiniz Se eu soubesse nem tinha tomado meu zolpidem rsrsrs,None,pt,iphone
2021-01-11 02:57:28,'1348464011877220354,thelnrd,p hoje era só uma cartela de zolpidem,None,pt,iphone
2021-01-11 02:56:26,'1348463752694345729,angel_hackers,"RT @nikigc: Chao, me tome una melatotina, zolpidem ya dos horas desde que me lo tomé y cero efecto",None,es,android
2021-01-11 02:49:23,'1348461978331787265,meunameehjulia,Esqueci que tomei Zolpidem e agora já tô viajando aqui kkkjjkkkkk,None,pt,android
2021-01-11 02:47:32,'1348461512336269320,anygcolors,alguém quwe fazer uma receita de zolpidem pra mil?,None,pt,android
2021-01-11 02:44:37,'1348460778064670720,_cristianesf,E lá vai eu de novo recorrer ao Zolpidem..,None,pt,iphone
2021-01-11 02:41:43,'1348460049430155264,iam_ahokay,@fvguima quer que eu mande um loggi com zolpidem aí?,None,pt,android
2021-01-11 02:35:48,'1348458559122583558,fckgb_,"RT @zolpidembot: Threads sobre o zolpidem (minha overdose, estudos de caso, porque comecei a tomar ele há 6 anos, artigos médicos que eu sa…",None,pt,iphone
2021-01-11 02:34:47,'1348458305719570433,nathalvest,tomei um zolpidem me encontro em outra dimensao neste exato momento,None,pt,https://mobile.twitter.com
