created_at,tweet_ID,user,tweet_content,place,language,source
2021-01-12 14:47:41,'1349005130834849798,alesolicienta,@DrKing_s Insomnio agudotratamiento de elección siempre será una no benzo ( zolpidem ) de 4 a 6 semanas pero hay qu… https://t.co/gUzSumGzC3,None,es,iphone
2021-01-12 14:39:37,'1349003102825934848,_renapc,"@enzohcolla Chapa de Zolpidem e Lexapro, a empresa Google agradece sua preferência.",None,pt,android
2021-01-12 14:27:19,'1349000006141956106,javieryquehuea,"ningún brillo el psiquiatra que tengo, me negó el zolpidem y probablemente me baje las olanzapinas. Puta que es dif… https://t.co/KroRL9X5ex",None,es,https://mobile.twitter.com
2021-01-12 14:09:19,'1348995476008415233,soteropoctano,tomei um zolpidem pra dormir ontem e acordei com um video do leandro karnal na tela do celular alguem me mata,None,pt,android
2021-01-12 13:47:21,'1348989950860152832,thhlb,e olha que eu nem tomei zolpidem ontem https://t.co/pg26J6gfzu,None,pt,iphone
2021-01-12 13:31:45,'1348986022223347716,LobinhoMatheus,@gabrindo Hahahahah Zolpidem funciona bastante comigo. Eu só não posso usar se já estiver com crise de ansiedade ou… https://t.co/EnkbtHu2KK,None,pt,android
2021-01-12 13:09:54,'1348980523482415105,coebruxo666,nao gente plss passando mal nao vou tomar mais zolpidem ontem mandei mensagem pra minha psicóloga perguntando se el… https://t.co/HeJTxJmGkP,None,pt,android
2021-01-12 12:54:16,'1348976591934795776,jonatasl,"E presta atenção, só as gatas que ficaram sem a receita do Zolpidem tão dando chilique. https://t.co/kO90EOtnie",None,pt,android
2021-01-12 12:48:44,'1348975197597138945,Lariletz_,"→ eu falo um bagulho completamente dopada de zolpidem
→ os cara leva pra a vida

cê tá de tiração né mano",None,pt,https://mobile.twitter.com
2021-01-12 12:45:01,'1348974261042606083,luluciaba,@mariagiuliakkkk o zolpidem meu pai amado,None,pt,https://mobile.twitter.com
2021-01-12 12:39:27,'1348972860736471042,carlorota_,@jeaoguedes tive minhas 8h ontem gravas ao zolpidem,None,pt,iphone
2021-01-12 12:28:32,'1348970112607526912,Jestadler,Acordada meio chapada por conta do meu amigo zolpidem,None,pt,android
2021-01-12 12:27:53,'1348969952020213760,DCXXI_,mano eu só tenho efeito colateral do zolpidem quando n tomo zolpidem,None,pt,https://mobile.twitter.com
2021-01-12 12:22:44,'1348968656013815809,luzeluzes,@meltedvideos e o zolpidem até o almoço,None,pt,https://mobile.twitter.com
2021-01-12 12:20:14,'1348968024334884865,gxb7j,vontade de tomar duas cartelas de zolpidem,None,pt,android
2021-01-12 11:55:32,'1348961807990468609,bustedandblue_,@novoyaserpoeta yo tambien lo llegue a pensar pero como el zolpidem en españa se llama de otras formas y me tiene a… https://t.co/xsCgTmUXw0,None,es,android
2021-01-12 11:51:37,'1348960824161923079,itsybitsyspder,jesus amado mandei mensagem pros outros grog de zolpidem agora eu lendo as respostas tô com medo de ouvir o que mandei,None,pt,iphone
2021-01-12 11:50:15,'1348960480191250434,Lukit_az,@laurasilva_ar Que lindo desayuno el Zolpidem.,None,es,android
2021-01-12 11:41:50,'1348958361178566657,marcefr3,Zolpidem é vida,None,pt,iphone
2021-01-12 11:40:30,'1348958027534258177,pambarbier,meu deus obrigada por existir zolpidem dormi que nem a princesa que sou,None,pt,iphone
2021-01-12 11:30:01,'1348955389778407424,colomboaqui,@matels @manoelpara O com insônia tem que tomar Zolpidem,None,pt,android
2021-01-12 11:01:17,'1348948155803512834,PlantinhaSurtad,@Luzegan2 amiga se nem zolpidem deu jeito sinto em informar que vc já pode se juntar ao clã dos Cullen,None,pt,https://mobile.twitter.com
